"","offense_types","Year","Offenses"
"1","murder_and_nonnegligent_manslaughter","2013",0
"2","murder_and_nonnegligent_manslaughter","2014",0
"3","murder_and_nonnegligent_manslaughter","2015",0
"4","murder_and_nonnegligent_manslaughter","2016",0
"5","murder_and_nonnegligent_manslaughter","2017",0
"6","murder_and_nonnegligent_manslaughter","2018",0
"7","murder_and_nonnegligent_manslaughter","2019",4
"8","aggravated_assault","2013",15
"9","aggravated_assault","2014",17
"10","aggravated_assault","2015",21
"11","aggravated_assault","2016",15
"12","aggravated_assault","2017",14
"13","aggravated_assault","2018",18
"14","aggravated_assault","2019",30
"15","simple_assault","2013",43
"16","simple_assault","2014",38
"17","simple_assault","2015",32
"18","simple_assault","2016",40
"19","simple_assault","2017",40
"20","simple_assault","2018",46
"21","simple_assault","2019",78
"22","intimidation","2013",43
"23","intimidation","2014",42
"24","intimidation","2015",41
"25","intimidation","2016",45
"26","intimidation","2017",45
"27","intimidation","2018",60
"28","intimidation","2019",50
"29","additional_offense","2013",2
"30","additional_offense","2014",0
"31","additional_offense","2015",0
"32","additional_offense","2016",0
"33","additional_offense","2017",0
"34","additional_offense","2018",0
"35","additional_offense","2019",0
"36","robbery","2013",4
"37","robbery","2014",3
"38","robbery","2015",2
"39","robbery","2016",2
"40","robbery","2017",0
"41","robbery","2018",4
"42","robbery","2019",4
"43","burglary","2013",6
"44","burglary","2014",27
"45","burglary","2015",7
"46","burglary","2016",4
"47","burglary","2017",4
"48","burglary","2018",2
"49","burglary","2019",3
"50","larceny_theft","2013",5
"51","larceny_theft","2014",5
"52","larceny_theft","2015",4
"53","larceny_theft","2016",5
"54","larceny_theft","2017",8
"55","larceny_theft","2018",5
"56","larceny_theft","2019",3
"57","motor_vehicle_theft","2013",0
"58","motor_vehicle_theft","2014",2
"59","motor_vehicle_theft","2015",2
"60","motor_vehicle_theft","2016",0
"61","motor_vehicle_theft","2017",1
"62","motor_vehicle_theft","2018",0
"63","motor_vehicle_theft","2019",1
"64","arson","2013",2
"65","arson","2014",2
"66","arson","2015",1
"67","arson","2016",0
"68","arson","2017",0
"69","arson","2018",0
"70","arson","2019",2
"71","destruction_damage_vandalism","2013",34
"72","destruction_damage_vandalism","2014",31
"73","destruction_damage_vandalism","2015",22
"74","destruction_damage_vandalism","2016",18
"75","destruction_damage_vandalism","2017",38
"76","destruction_damage_vandalism","2018",30
"77","destruction_damage_vandalism","2019",25
"78","one_or_more_offense_type","2013",2
"79","one_or_more_offense_type","2014",1
"80","one_or_more_offense_type","2015",0
"81","one_or_more_offense_type","2016",0
"82","one_or_more_offense_type","2017",0
"83","one_or_more_offense_type","2018",2
"84","one_or_more_offense_type","2019",0
"85","crime_against_society","2013",1
"86","crime_against_society","2014",0
"87","crime_against_society","2015",0
"88","crime_against_society","2016",2
"89","crime_against_society","2017",2
"90","crime_against_society","2018",4
"91","crime_against_society","2019",4
"92","rape1","2013",NA
"93","rape1","2014",NA
"94","rape1","2015",NA
"95","rape1","2016",NA
"96","rape1","2017",0
"97","rape1","2018",0
"98","rape1","2019",1
"99","human_trafficking_commercial_sex_acts","2013",NA
"100","human_trafficking_commercial_sex_acts","2014",NA
"101","human_trafficking_commercial_sex_acts","2015",NA
"102","human_trafficking_commercial_sex_acts","2016",NA
"103","human_trafficking_commercial_sex_acts","2017",NA
"104","human_trafficking_commercial_sex_acts","2018",NA
"105","human_trafficking_commercial_sex_acts","2019",0
